"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13-ANTI_TAMP","I/O","",""
"3","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"5","PH0 - OSC_IN","I/O","RCC_OSC_IN",""
"6","PH1 - OSC_OUT","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","Output","GPIO_Output","PS2_DAT"
"9","PC1","Output","GPIO_Output","PS2_CMD"
"10","PC2","Output","GPIO_Output","PS2_CS"
"11","PC3","Output","GPIO_Output","PS2_CLK"
"12","VSSA/VREF-","Power","",""
"13","VREF+","Power","",""
"14","PA0-WKUP","I/O","TIM5_CH1","ENCODE1_1"
"15","PA1","I/O","TIM5_CH2","ENCODE1_2"
"16","PA2","I/O","USART2_TX",""
"17","PA3","I/O","USART2_RX",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","Output","GPIO_Output","B_L_1IN"
"21","PA5","Output","GPIO_Output","B_R_1IN"
"22","PA6","I/O","TIM3_CH1","B_L_1PWM"
"23","PA7","Output","GPIO_Output","B_L_2IN"
"24","PC4","Output","GPIO_Output","F_L_1IN"
"25","PC5","Output","GPIO_Output","F_R_1IN"
"26","PB0","I/O","TIM3_CH3","B_R_2IN"
"27","PB1","I/O","TIM3_CH4","B_R_2PWM"
"28","PB2","Input","GPIO_Input","OLED_PUSH"
"29","PB10","I/O","",""
"30","VCAP1","Power","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","Output","GPIO_Output","OLED_TR_A"
"34","PB13","Output","GPIO_Output","OLED_TR_B"
"35","PB14","Output","GPIO_Output","OLED_SDA"
"36","PB15","Output","GPIO_Output","OLED_SCL"
"37","PC6","Input","GPIO_Input","KEY"
"38","PC7","Output","GPIO_Output","LED"
"39","PC8","Output","GPIO_Output","TOF_INT"
"40","PC9","Output","GPIO_Output","TOF_SCL"
"41","PA8","Output","GPIO_Output","TOF_SDA"
"42","PA9","I/O","USART1_TX",""
"43","PA10","I/O","USART1_RX",""
"44","PA11","Input","GPIO_Input","D3_433"
"45","PA12","Input","GPIO_Input","D2_433"
"46","PA13","I/O","SYS_JTMS-SWDIO",""
"47","VSS","Power","",""
"48","VDD","Power","",""
"49","PA14","I/O","SYS_JTCK-SWCLK",""
"50","PA15","I/O","TIM2_CH1","ENCODE2_1"
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","I/O","",""
"54","PD2","I/O","",""
"55","PB3","I/O","TIM2_CH2","ENCODE2_2"
"56","PB4","Input","GPIO_Input","D1_433"
"57","PB5","Input","GPIO_Input","D0_433"
"58","PB6","I/O","TIM4_CH1","F_L_1PWM"
"59","PB7","Output","GPIO_Output","F_L_2IN"
"60","BOOT0","Boot","",""
"61","PB8","Output","GPIO_Output","F_R_2IN"
"62","PB9","I/O","TIM4_CH4","F_R_2PWM"
"63","VSS","Power","",""
"64","VDD","Power","",""
